full_name,phone,phone_secondary,province,city,address,postal_code,purchase_reference,purchase_date,purchase_amount,source_reference,purchased_item
آرمان آزمایشی,09130000101,,تهران,تهران,خیابان نمونه یک,1111111111,ORD-0001,2025-01-10,1250000,legacy_crm,گوشی آزمایشی
بهار آزمایشی,09130000102,,اصفهان,اصفهان,خیابان نمونه دو,2222222222,ORD-0002,2025-01-12,980000,legacy_crm,گوشی آزمایشی
پویان آزمایشی,09130000103,,فارس,شیراز,خیابان نمونه سه,3333333333,ORD-0003,2025-01-15,2450000,legacy_crm,گوشی آزمایشی
ترانه آزمایشی,09130000104,,خراسان رضوی,مشهد,خیابان نمونه چهار,4444444444,ORD-0004,2025-01-18,700000,legacy_crm,گوشی آزمایشی
ثنا آزمایشی,09130000105,,آذربایجان شرقی,تبریز,خیابان نمونه پنج,5555555555,ORD-0005,2025-01-20,3100000,legacy_crm,گوشی آزمایشی
جواد آزمایشی,09130000106,,گیلان,رشت,خیابان نمونه شش,6666666666,ORD-0006,2025-01-23,450000,legacy_crm,گوشی آزمایشی
چکامه آزمایشی,09130000107,,مازندران,ساری,خیابان نمونه هفت,7777777777,ORD-0007,2025-01-25,1680000,legacy_crm,گوشی آزمایشی
حامد آزمایشی,09130000108,,قم,قم,خیابان نمونه هشت,8888888888,ORD-0008,2025-01-28,820000,legacy_crm,گوشی آزمایشی
خاطره آزمایشی,09130000109,,یزد,یزد,خیابان نمونه نه,9999999999,ORD-0009,2025-02-01,2750000,legacy_crm,گوشی آزمایشی
داریوش آزمایشی,09130000110,,کرمان,کرمان,خیابان نمونه ده,1010101010,ORD-0010,2025-02-03,390000,legacy_crm,گوشی آزمایشی
رها آزمایشی,09130000111,,البرز,کرج,خیابان نمونه یازده,1111111112,ORD-0011,2025-02-06,1430000,legacy_crm,خدمت پشتیبانی آزمایشی
زانیار آزمایشی,09130000112,,کردستان,سنندج,خیابان نمونه دوازده,1212121212,ORD-0012,2025-02-09,520000,legacy_crm,خدمت پشتیبانی آزمایشی
ژاله آزمایشی,09130000113,,کرمانشاه,کرمانشاه,خیابان نمونه سیزده,1313131313,ORD-0013,2025-02-12,1870000,sales_excel_2024,خدمت پشتیبانی آزمایشی
